student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,assessments_attempted,avg_score_so_far,max_score_so_far,min_score_so_far,final_mark,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend,grade_code_mode,academic_period_key,snapshot_date
20,1,161,22,32,67,57,Course Page,50,40,55,1,0,7.318181818181818,51.22727272727273,0.35403726708074534,0.4161490683229814,16.0,53.875,100.0,20.0,34.0,8,65.0,8,100.0,20.0,47.25,-80.0,N,2,2026-07-07
21,1,268,41,39,101,55,Assignment,72,87,85,9,0,6.536585365853658,45.75609756097561,0.20522388059701493,0.376865671641791,16.0,67.8875,100.0,26.5,50.0,14,62.3,2,97.5,70.0,62.9,-27.5,P,2,2026-07-07
22,1,1203,111,35,221,239,Course Page,115,292,765,7,0,10.837837837837839,75.86486486486486,0.19866999168744803,0.18370739817123857,30.0,96.584,100.0,88.13,83.0,30,88.13,0,98.0,97.0,94.065,-1.0,HD,2,2026-07-07
23,1,402,58,25,119,59,Lecture Material,167,50,165,11,0,6.931034482758621,48.51724137931034,0.14676616915422885,0.2960199004975124,30.0,85.1,100.0,55.5,83.0,30,74.0,0,94.0,91.0,64.75,-3.0,HD,2,2026-07-07
24,1,248,30,18,85,9,Course Page,57,41,129,21,0,8.266666666666667,57.86666666666667,0.036290322580645164,0.34274193548387094,18.0,83.38888888888889,100.0,38.5,40.0,16,75.5,2,96.25,0.0,81.75,0.0,SA,2,2026-07-07
25,1,382,49,30,148,43,Course Page,92,101,182,2,0,7.795918367346939,54.57142857142857,0.112565445026178,0.387434554973822,30.0,77.36,100.0,46.2,40.0,26,46.2,4,81.0,83.0,64.6,2.0,SA,2,2026-07-07
26,1,415,47,36,205,80,Lecture Material,140,81,131,38,0,8.829787234042554,61.80851063829787,0.1927710843373494,0.4939759036144578,24.0,38.083333333333336,70.0,0.0,18.0,8,0.0,16,56.666666666666664,36.0,24.0,-20.666666666666664,N,2,2026-07-07
27,1,266,37,16,58,37,Course Page,75,62,128,0,0,7.1891891891891895,50.32432432432432,0.13909774436090225,0.21804511278195488,26.0,51.684615384615384,80.0,30.0,24.0,12,46.45,14,60.0,50.0,44.225,-10.0,N,2,2026-07-07
28,1,7,3,4,3,0,Course Page,0,3,4,0,0,2.3333333333333335,16.333333333333336,0.0,0.42857142857142855,8.0,26.125,95.0,0.0,2.0,2,0.0,6,0.0,95.0,0.0,0.0,N,2,2026-07-07
29,1,379,49,36,83,71,Course Page,70,131,147,19,0,7.73469387755102,54.142857142857146,0.18733509234828497,0.21899736147757257,28.0,75.61428571428571,100.0,56.05,59.0,28,56.05,0,83.0,85.0,57.025,2.0,P,2,2026-07-07
30,1,111,26,17,40,35,Course Page,14,41,49,3,0,4.269230769230769,29.884615384615383,0.3153153153153153,0.36036036036036034,18.0,41.666666666666664,95.0,5.5,17.0,8,5.5,10,52.5,0.0,36.0,0.0,N,2,2026-07-07
31,1,362,46,36,114,38,Course Page,89,117,130,11,0,7.869565217391305,55.08695652173913,0.10497237569060773,0.3149171270718232,30.0,90.15333333333334,100.0,65.8,72.0,30,65.8,0,97.4,90.0,80.4,-7.400000000000006,D,2,2026-07-07
32,1,450,59,49,32,54,Assignment,42,226,161,15,0,7.627118644067797,53.389830508474574,0.12,0.07111111111111111,28.0,84.09285714285714,100.0,59.0,75.0,28,59.4,0,91.25,98.0,59.2,6.75,D,2,2026-07-07
33,1,317,43,30,69,101,Course Page,52,72,166,17,0,7.372093023255814,51.604651162790695,0.3186119873817035,0.21766561514195584,30.0,88.39666666666668,100.0,60.0,49.0,30,91.3,0,78.0,100.0,86.7375,22.0,S,2,2026-07-07
34,1,501,58,27,365,130,Course Page,83,166,230,13,0,8.637931034482758,60.4655172413793,0.25948103792415167,0.7285429141716567,26.0,76.96153846153847,100.0,20.0,44.0,22,83.0,4,81.0,73.33333333333333,78.25,-7.666666666666671,SA,2,2026-07-07
35,1,338,51,34,46,17,Course Page,83,113,123,6,0,6.627450980392157,46.3921568627451,0.05029585798816568,0.13609467455621302,30.0,84.97333333333333,100.0,70.35,48.0,30,70.35,0,87.8,90.0,74.175,2.200000000000003,S,2,2026-07-07
36,1,402,48,30,141,60,Course Page,98,87,188,0,0,8.375,58.625,0.14925373134328357,0.35074626865671643,30.0,67.6,90.0,35.0,56.0,26,64.5,4,67.0,63.0,74.75,-4.0,P,2,2026-07-07
37,1,212,36,15,16,4,Course Page,34,60,115,3,0,5.888888888888889,41.22222222222222,0.018867924528301886,0.07547169811320754,28.0,77.27142857142857,95.0,55.0,54.0,28,81.4,0,79.0,73.75,80.7,-5.25,P,2,2026-07-07
38,1,846,84,38,256,166,Course Page,146,242,403,20,0,10.071428571428571,70.5,0.19621749408983452,0.30260047281323876,30.0,67.25333333333333,92.0,35.0,45.0,24,79.65,6,62.0,59.0,85.825,-3.0,S,2,2026-07-07
39,1,211,50,37,41,40,Lecture Material,70,58,59,6,0,4.22,29.54,0.1895734597156398,0.1943127962085308,30.0,81.94266666666667,100.0,61.57,70.0,30,61.57,0,94.0,82.0,65.285,-12.0,D,2,2026-07-07
40,1,321,40,22,154,30,Assignment,31,178,111,1,0,8.025,56.175,0.09345794392523364,0.4797507788161994,28.0,62.392857142857146,100.0,19.0,34.0,24,19.0,4,75.0,72.5,35.5,-2.5,N,2,2026-07-07
41,1,409,43,26,225,101,Course Page,79,122,196,10,0,9.511627906976743,66.5813953488372,0.2469437652811736,0.5501222493887531,20.0,38.9,60.0,0.0,15.0,10,46.0,10,40.0,55.0,30.666666666666668,15.0,N,2,2026-07-07
42,1,266,42,19,128,22,Assignment,29,130,101,1,0,6.333333333333333,44.333333333333336,0.08270676691729323,0.48120300751879697,26.0,84.34615384615384,100.0,60.0,62.0,26,60.0,0,91.0,93.33333333333333,72.0,2.3333333333333286,C,2,2026-07-07
43,1,611,63,35,334,99,Course Page,109,77,402,1,0,9.698412698412698,67.88888888888889,0.16202945990180032,0.546644844517185,28.0,82.27857142857144,100.0,45.0,43.0,26,85.95,2,85.0,88.0,73.475,3.0,SA,2,2026-07-07
44,1,367,38,25,107,75,Course Page,86,96,174,7,0,9.657894736842104,67.60526315789474,0.20435967302452315,0.29155313351498635,26.0,83.9076923076923,100.0,67.9,60.0,26,67.9,0,93.0,88.33333333333333,71.95,-4.666666666666671,C,2,2026-07-07
45,1,478,62,55,257,73,Assignment,67,193,193,8,0,7.709677419354839,53.967741935483865,0.15271966527196654,0.5376569037656904,30.0,89.08666666666666,100.0,65.0,71.0,30,79.15,0,88.0,92.0,86.575,4.0,D,2,2026-07-07
46,1,265,40,21,79,64,Course Page,66,59,118,13,0,6.625,46.375,0.24150943396226415,0.2981132075471698,30.0,72.78666666666666,90.0,40.0,46.0,28,69.65,2,69.0,82.0,65.325,13.0,S,2,2026-07-07
47,1,330,53,25,156,115,Course Page,19,138,163,6,0,6.226415094339623,43.58490566037736,0.3484848484848485,0.4727272727272727,30.0,83.44666666666667,100.0,60.0,43.0,30,75.85,0,81.0,87.0,81.925,6.0,SA,2,2026-07-07
48,1,384,48,32,109,98,Course Page,121,96,160,1,0,8.0,56.0,0.2552083333333333,0.2838541666666667,30.0,72.25733333333332,100.0,25.0,48.0,24,51.43,6,86.0,56.0,75.715,-30.0,S,2,2026-07-07
49,1,439,34,29,366,158,Course Page,143,56,192,32,0,12.911764705882353,90.38235294117648,0.35990888382687924,0.8337129840546698,18.0,63.333333333333336,100.0,29.0,26.0,16,64.5,2,65.0,80.0,62.75,15.0,N,2,2026-07-07
50,1,254,35,40,64,8,Lecture Material,83,37,75,36,0,7.257142857142857,50.8,0.031496062992125984,0.25196850393700787,26.0,46.2,84.0,20.0,60.0,12,51.3,14,40.0,33.333333333333336,67.65,-6.666666666666664,C,2,2026-07-07
51,1,270,57,26,125,41,Course Page,48,94,106,12,0,4.7368421052631575,33.15789473684211,0.15185185185185185,0.46296296296296297,28.0,87.73571428571428,100.0,50.0,82.0,28,97.9,0,89.0,82.5,93.95,-6.5,HD,2,2026-07-07
52,1,244,32,22,120,39,Course Page,82,36,94,10,0,7.625,53.375,0.1598360655737705,0.4918032786885246,30.0,71.03333333333333,100.0,50.0,62.0,30,68.0,0,82.0,67.0,61.5,-15.0,C,2,2026-07-07
53,1,267,42,21,60,79,Course Page,76,66,121,4,0,6.357142857142857,44.5,0.2958801498127341,0.2247191011235955,24.0,57.03333333333333,100.0,19.7,37.0,14,19.7,10,72.0,50.0,44.6,-22.0,N,2,2026-07-07
54,1,748,69,40,322,144,Course Page,90,227,378,1,0,10.840579710144928,75.88405797101449,0.1925133689839572,0.4304812834224599,26.0,74.99230769230769,100.0,30.0,41.0,20,76.45,6,67.5,97.5,62.225,30.0,SA,2,2026-07-07
55,1,711,68,24,147,179,Course Page,49,94,552,6,0,10.455882352941176,73.19117647058825,0.2517580872011252,0.20675105485232068,22.0,45.13636363636363,75.0,0.0,22.0,8,44.0,14,48.75,20.0,59.5,-28.75,N,2,2026-07-07
56,1,261,40,24,71,64,Course Page,37,99,113,8,0,6.525,45.675,0.24521072796934865,0.2720306513409962,30.0,78.56666666666666,100.0,0.0,60.0,28,84.0,2,92.0,59.0,87.0,-33.0,C,2,2026-07-07
57,1,176,38,15,78,22,Course Page,11,45,119,0,0,4.631578947368421,32.421052631578945,0.125,0.4431818181818182,12.0,57.333333333333336,100.0,10.0,47.0,10,62.0,2,100.0,0.0,58.5,0.0,S,2,2026-07-07
58,1,387,46,27,135,68,Course Page,98,46,223,11,0,8.41304347826087,58.891304347826086,0.17571059431524547,0.3488372093023256,24.0,26.375,55.0,0.0,20.0,8,53.75,16,17.5,6.666666666666667,54.375,-10.833333333333332,N,2,2026-07-07
59,1,221,28,16,77,28,Course Page,50,48,123,0,0,7.892857142857143,55.25,0.12669683257918551,0.34841628959276016,18.0,55.67777777777778,85.0,29.0,19.0,12,36.05,6,78.33333333333333,55.0,45.525,-23.33333333333333,N,2,2026-07-07
60,1,455,69,26,180,125,Course Page,41,177,214,15,0,6.594202898550725,46.15942028985507,0.27472527472527475,0.3956043956043956,30.0,90.91333333333334,100.0,80.0,65.0,30,84.15,0,91.8,91.0,89.575,-0.7999999999999972,C,2,2026-07-07
61,1,280,49,33,118,59,Lecture Material,92,64,88,14,0,5.714285714285714,40.0,0.21071428571428572,0.42142857142857143,30.0,91.0,100.0,60.0,83.0,30,80.0,0,98.0,88.0,85.5,-10.0,HD,2,2026-07-07
62,1,220,37,27,98,71,Course Page,43,58,105,4,0,5.945945945945946,41.62162162162162,0.32272727272727275,0.44545454545454544,30.0,74.58,95.0,50.0,48.0,30,88.35,0,79.0,69.0,76.175,-10.0,S,2,2026-07-07
63,1,347,53,30,118,41,Course Page,45,77,204,5,0,6.547169811320755,45.83018867924528,0.11815561959654179,0.3400576368876081,28.0,79.5,100.0,40.0,46.0,26,65.5,2,88.0,75.0,74.75,-13.0,S,2,2026-07-07
64,1,551,30,27,345,60,Course Page,72,49,410,9,0,18.366666666666667,128.56666666666666,0.1088929219600726,0.6261343012704175,20.0,48.730000000000004,80.0,10.0,23.0,14,65.65,6,40.0,50.0,61.325,10.0,N,2,2026-07-07
65,1,408,50,33,165,38,Course Page,54,137,180,15,0,8.16,57.12,0.09313725490196079,0.40441176470588236,30.0,83.24666666666667,95.0,58.0,58.0,30,88.4,0,83.8,90.0,73.2,6.200000000000003,P,2,2026-07-07
66,1,213,44,23,39,47,Course Page,72,59,74,3,0,4.840909090909091,33.88636363636364,0.22065727699530516,0.18309859154929578,30.0,74.21333333333334,100.0,30.0,46.0,28,72.35,2,66.0,77.0,81.675,11.0,S,2,2026-07-07
67,1,193,18,42,172,40,Assignment,39,110,34,7,0,10.722222222222221,75.05555555555554,0.20725388601036268,0.8911917098445595,30.0,87.22666666666667,100.0,67.7,70.0,30,67.7,0,96.0,86.0,76.85,-10.0,D,2,2026-07-07
68,1,503,74,30,73,85,Course Page,80,69,342,2,0,6.797297297297297,47.58108108108108,0.16898608349900596,0.14512922465208747,30.0,75.48666666666666,100.0,30.0,44.0,24,41.65,6,72.0,90.0,60.325,18.0,SA,2,2026-07-07
69,1,151,33,21,57,12,Course Page,25,46,78,0,0,4.575757575757576,32.03030303030303,0.07947019867549669,0.37748344370860926,30.0,71.59466666666667,100.0,47.21,58.0,26,47.21,4,74.0,75.0,63.605000000000004,1.0,P,2,2026-07-07
70,1,463,46,23,105,76,Course Page,95,89,268,8,0,10.065217391304348,70.45652173913044,0.16414686825053995,0.2267818574514039,30.0,95.83733333333333,100.0,88.28,85.0,30,88.28,0,98.0,96.0,92.64,-2.0,HD,2,2026-07-07
71,1,91,20,14,38,25,Assignment,4,58,24,5,0,4.55,31.849999999999998,0.27472527472527475,0.4175824175824176,28.0,54.642857142857146,80.0,0.0,30.0,20,66.0,8,55.0,42.0,73.0,-13.0,N,2,2026-07-07
72,1,452,50,30,192,33,Course Page,79,149,207,8,0,9.04,63.279999999999994,0.07300884955752213,0.4247787610619469,30.0,75.97333333333333,100.0,40.0,66.0,28,96.3,2,80.0,62.0,89.65,-18.0,C,2,2026-07-07
73,1,252,39,35,169,48,Assignment,26,106,99,16,0,6.461538461538462,45.23076923076923,0.19047619047619047,0.6706349206349206,20.0,53.4,100.0,0.0,11.0,10,0.0,10,80.0,75.0,9.333333333333334,-5.0,N,2,2026-07-07
74,1,327,60,17,149,59,Course Page,52,60,209,0,0,5.45,38.15,0.18042813455657492,0.45565749235474007,30.0,76.5,95.0,30.0,54.0,28,50.0,2,76.0,81.0,71.0,5.0,P,2,2026-07-07
75,1,494,65,23,261,106,Course Page,20,232,240,0,0,7.6,53.199999999999996,0.2145748987854251,0.52834008097166,28.0,73.39285714285714,100.0,40.0,55.0,22,41.0,6,70.0,93.75,57.5,23.75,P,2,2026-07-07
76,1,187,29,28,42,24,Assignment,27,78,78,1,0,6.448275862068965,45.137931034482754,0.12834224598930483,0.22459893048128343,30.0,64.23333333333333,100.0,20.0,53.0,22,45.0,8,76.0,61.0,52.5,-15.0,P,2,2026-07-07
77,1,220,35,24,90,28,Course Page,69,45,85,15,0,6.285714285714286,44.0,0.12727272727272726,0.4090909090909091,20.0,70.47,100.0,38.0,50.0,18,89.35,2,70.0,100.0,71.675,30.0,P,2,2026-07-07
78,1,445,66,26,247,87,Course Page,53,56,321,5,0,6.742424242424242,47.196969696969695,0.19550561797752808,0.5550561797752809,28.0,76.72142857142856,100.0,50.0,39.0,28,73.3,0,71.25,78.0,82.9,6.75,N,2,2026-07-07
79,1,375,47,28,104,82,Course Page,111,103,145,3,0,7.9787234042553195,55.851063829787236,0.21866666666666668,0.2773333333333333,28.0,70.85714285714286,100.0,40.0,63.0,26,63.0,2,86.0,65.0,58.25,-21.0,C,2,2026-07-07
80,1,333,56,21,151,116,Course Page,52,86,193,2,0,5.946428571428571,41.625,0.3483483483483483,0.45345345345345345,30.0,81.77333333333333,100.0,65.0,67.0,30,79.3,0,86.0,78.0,81.15,-8.0,C,2,2026-07-07
81,1,511,76,37,129,125,Lecture Material,172,149,152,22,0,6.723684210526316,47.065789473684205,0.2446183953033268,0.25244618395303325,30.0,35.906666666666666,75.0,10.0,25.0,8,48.8,22,15.0,55.0,38.4,40.0,N,2,2026-07-07
82,1,657,66,28,253,82,Course Page,102,236,299,7,0,9.954545454545455,69.68181818181819,0.1248097412480974,0.3850837138508371,30.0,92.12666666666668,100.0,70.0,73.0,30,88.7,0,90.0,93.0,93.85,3.0,D,2,2026-07-07
83,1,325,50,22,92,61,Course Page,35,69,212,7,0,6.5,45.5,0.18769230769230769,0.28307692307692306,30.0,68.04,100.0,40.0,30.0,24,45.3,6,69.0,79.0,51.65,10.0,N,2,2026-07-07
84,1,353,46,23,160,45,Course Page,60,58,227,3,0,7.673913043478261,53.71739130434783,0.1274787535410765,0.45325779036827196,30.0,83.09333333333333,100.0,69.0,52.0,30,70.2,0,84.0,92.0,69.6,8.0,P,2,2026-07-07
85,1,191,35,18,87,43,Course Page,14,72,103,1,0,5.457142857142857,38.2,0.225130890052356,0.45549738219895286,30.0,69.76666666666667,100.0,0.0,21.0,20,0.0,10,79.0,100.0,15.5,21.0,N,2,2026-07-07
86,1,343,47,31,174,43,Course Page,82,66,165,16,0,7.297872340425532,51.08510638297872,0.12536443148688048,0.5072886297376094,24.0,57.76666666666667,100.0,20.0,30.0,16,68.1,8,65.0,43.333333333333336,66.05,-21.666666666666664,N,2,2026-07-07
87,1,120,14,15,27,13,Assignment,12,60,45,1,0,8.571428571428571,60.0,0.10833333333333334,0.225,28.0,59.17857142857143,100.0,0.0,41.0,18,56.0,10,55.0,75.0,49.0,20.0,SA,2,2026-07-07
88,1,109,19,11,27,28,Course Page,13,37,55,0,0,5.7368421052631575,40.1578947368421,0.25688073394495414,0.24770642201834864,18.0,74.33333333333333,100.0,0.0,62.0,14,86.5,4,75.0,0.0,84.75,0.0,C,2,2026-07-07
89,1,284,62,20,165,64,Assignment,25,144,100,4,0,4.580645161290323,32.064516129032256,0.22535211267605634,0.5809859154929577,16.0,14.0,38.0,0.0,9.0,0,38.0,16,0.0,0.0,28.0,0.0,N,2,2026-07-07
90,1,502,51,31,95,64,Course Page,77,171,227,15,0,9.843137254901961,68.90196078431373,0.12749003984063745,0.1892430278884462,30.0,87.90666666666667,100.0,79.0,73.0,30,82.55,0,92.0,89.0,80.775,-3.0,D,2,2026-07-07
91,1,311,51,27,149,41,Course Page,55,78,152,13,0,6.098039215686274,42.68627450980392,0.13183279742765272,0.4790996784565916,30.0,84.86,100.0,50.0,72.0,30,84.95,0,74.0,92.0,89.975,18.0,D,2,2026-07-07
92,1,488,51,40,75,94,Course Page,116,146,180,28,0,9.568627450980392,66.98039215686275,0.19262295081967212,0.15368852459016394,20.0,78.85,100.0,43.5,40.0,18,72.5,2,78.33333333333333,100.0,77.5,21.66666666666667,SA,2,2026-07-07
93,1,188,31,23,45,7,Course Page,54,53,63,7,0,6.064516129032258,42.4516129032258,0.03723404255319149,0.2393617021276596,26.0,32.19230769230769,60.0,0.0,33.0,6,23.0,20,41.0,26.666666666666668,26.25,-14.333333333333332,N,2,2026-07-07
94,1,417,35,25,164,46,Course Page,134,107,160,0,0,11.914285714285715,83.4,0.11031175059952038,0.3932853717026379,28.0,53.785714285714285,90.0,17.0,51.0,16,17.0,12,75.0,56.25,23.25,-18.75,P,2,2026-07-07
95,1,244,31,33,137,72,Course Page,41,96,97,1,0,7.870967741935484,55.096774193548384,0.29508196721311475,0.5614754098360656,36.0,41.833333333333336,86.0,0.0,0.0,12,0.0,24,55.0,26.666666666666668,43.0,-28.333333333333332,DX,2,2026-07-07
96,1,780,74,45,653,188,Assignment,78,351,337,12,0,10.54054054054054,73.78378378378379,0.24102564102564103,0.8371794871794872,30.0,68.36,100.0,1.2,25.0,22,1.2,8,82.0,88.0,22.6,6.0,N,2,2026-07-07
97,1,157,35,15,39,54,Course Page,51,45,56,5,0,4.485714285714286,31.4,0.34394904458598724,0.2484076433121019,24.0,76.825,100.0,55.5,44.0,24,55.7,0,88.33333333333333,72.5,77.85,-15.833333333333329,SA,2,2026-07-07
98,1,145,23,15,67,31,Course Page,48,29,66,0,0,6.304347826086956,44.130434782608695,0.21379310344827587,0.46206896551724136,16.0,51.275,100.0,0.0,28.0,10,73.1,6,40.0,0.0,69.55,0.0,N,2,2026-07-07
99,1,417,49,35,77,31,Course Page,124,78,183,12,0,8.510204081632653,59.57142857142857,0.07434052757793765,0.18465227817745802,28.0,74.25,100.0,0.0,60.0,26,79.0,2,90.0,53.75,77.0,-36.25,C,2,2026-07-07
100,1,57,20,5,8,6,Course Page,1,2,53,1,0,2.85,19.95,0.10526315789473684,0.14035087719298245,20.0,41.15,75.0,0.0,10.0,10,0.0,10,61.25,50.0,21.75,-11.25,N,2,2026-07-07
101,1,733,50,29,296,161,Course Page,171,118,423,0,0,14.66,102.61999999999999,0.21964529331514324,0.4038199181446112,30.0,71.86666666666666,90.0,43.0,38.0,26,67.0,4,74.0,82.0,55.0,8.0,N,2,2026-07-07
102,1,121,15,11,53,24,Course Page,21,43,57,0,0,8.066666666666666,56.46666666666667,0.19834710743801653,0.4380165289256198,16.0,10.375,25.0,0.0,2.0,0,0.0,16,16.666666666666668,20.0,2.0,3.333333333333332,N,2,2026-07-07
103,1,444,81,44,215,128,Course Page,40,160,234,5,0,5.481481481481482,38.370370370370374,0.2882882882882883,0.48423423423423423,30.0,89.96666666666667,100.0,40.0,74.0,26,93.0,4,97.0,100.0,66.5,3.0,D,2,2026-07-07
104,1,421,72,27,140,80,Assignment,119,143,101,36,0,5.847222222222222,40.93055555555555,0.19002375296912113,0.332541567695962,30.0,91.53333333333333,100.0,75.0,72.0,30,94.0,0,96.0,86.0,93.0,-10.0,D,2,2026-07-07
105,1,211,40,21,90,30,Course Page,35,74,95,5,0,5.275,36.925,0.14218009478672985,0.4265402843601896,24.0,65.48333333333333,90.0,25.0,36.0,20,65.65,4,76.0,57.5,60.325,-18.5,N,2,2026-07-07
106,1,638,68,42,395,140,Course Page,66,188,345,7,0,9.382352941176471,65.6764705882353,0.219435736677116,0.6191222570532915,28.0,48.75714285714286,100.0,0.0,33.0,16,32.8,12,46.0,60.0,41.4,14.0,N,2,2026-07-07
107,1,678,69,45,174,108,Course Page,150,180,300,2,0,9.826086956521738,68.78260869565217,0.1592920353982301,0.25663716814159293,28.0,68.35714285714286,100.0,30.0,53.0,26,77.0,2,70.0,65.0,71.5,-5.0,P,2,2026-07-07
108,1,333,32,24,260,79,Course Page,104,66,151,9,0,10.40625,72.84375,0.23723723723723725,0.7807807807807807,28.0,58.464285714285715,85.0,0.0,57.0,24,76.0,4,70.0,38.75,65.75,-31.25,P,2,2026-07-07
109,1,205,30,18,103,6,Course Page,39,46,110,0,0,6.833333333333333,47.833333333333336,0.02926829268292683,0.5024390243902439,22.0,68.95454545454545,90.0,43.5,66.0,20,85.0,2,67.5,82.5,70.0,15.0,C,2,2026-07-07
110,1,251,30,29,194,56,Assignment,36,104,104,2,0,8.366666666666667,58.56666666666667,0.22310756972111553,0.7729083665338645,20.0,51.2,70.0,27.0,22.0,12,58.5,8,56.666666666666664,50.0,53.75,-6.666666666666664,N,2,2026-07-07
111,1,257,25,33,153,18,Assignment,15,147,92,1,0,10.28,71.96,0.07003891050583658,0.5953307392996109,26.0,81.69999999999999,100.0,63.3,45.0,26,63.3,0,99.0,76.66666666666667,66.15,-22.33333333333333,S,2,2026-07-07
