student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,assessments_attempted,avg_score_so_far,max_score_so_far,min_score_so_far,final_mark,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend,grade_code_mode,snapshot_date
93,1,188,31,24,45,7,Course Page,59,53,63,7,0,6.064516129032258,42.4516129032258,0.03723404255319149,0.2393617021276596,13.0,32.19230769230769,60.0,0.0,33.0,3,23.0,10,41.0,26.666666666666668,26.25,-14.333333333333332,N,2026-06-23
94,1,417,35,26,164,46,Course Page,146,107,160,0,0,11.914285714285715,83.4,0.11031175059952038,0.3932853717026379,14.0,53.785714285714285,90.0,17.0,51.0,8,17.0,6,75.0,56.25,23.25,-18.75,P,2026-06-23
95,1,244,31,34,137,72,Course Page,42,96,97,1,0,7.870967741935484,55.096774193548384,0.29508196721311475,0.5614754098360656,12.0,41.833333333333336,86.0,0.0,0.0,4,0.0,8,55.0,26.666666666666668,43.0,-28.333333333333332,DX,2026-06-23
96,1,780,74,46,653,188,Assignment,80,351,337,12,0,10.54054054054054,73.78378378378379,0.24102564102564103,0.8371794871794872,15.0,68.36,100.0,1.2,25.0,11,1.2,4,82.0,88.0,22.6,6.0,N,2026-06-23
97,1,157,35,15,39,54,Course Page,51,45,56,5,0,4.485714285714286,31.4,0.34394904458598724,0.2484076433121019,12.0,76.825,100.0,55.5,44.0,12,55.7,0,88.33333333333333,72.5,77.85,-15.833333333333329,SA,2026-06-23
98,1,145,23,16,67,31,Course Page,49,29,66,0,0,6.304347826086956,44.130434782608695,0.21379310344827587,0.46206896551724136,8.0,51.275,100.0,0.0,28.0,5,73.1,3,40.0,0.0,69.55,0.0,N,2026-06-23
99,1,417,49,36,77,31,Course Page,129,78,183,12,0,8.510204081632653,59.57142857142857,0.07434052757793765,0.18465227817745802,14.0,74.25,100.0,0.0,60.0,13,79.0,1,90.0,53.75,77.0,-36.25,C,2026-06-23
100,1,57,20,5,8,6,Course Page,1,2,53,1,0,2.85,19.95,0.10526315789473684,0.14035087719298245,10.0,41.15,75.0,0.0,10.0,5,0.0,5,61.25,50.0,21.75,-11.25,N,2026-06-23
101,1,733,50,30,296,161,Course Page,182,118,423,0,0,14.66,102.61999999999999,0.21964529331514324,0.4038199181446112,15.0,71.86666666666666,90.0,43.0,38.0,13,67.0,2,74.0,82.0,55.0,8.0,N,2026-06-23
102,1,121,15,11,53,24,Course Page,21,43,57,0,0,8.066666666666666,56.46666666666667,0.19834710743801653,0.4380165289256198,8.0,10.375,25.0,0.0,2.0,0,0.0,8,16.666666666666668,20.0,2.0,3.333333333333332,N,2026-06-23
103,1,444,81,45,215,128,Course Page,44,160,234,5,0,5.481481481481482,38.370370370370374,0.2882882882882883,0.48423423423423423,15.0,89.96666666666667,100.0,40.0,74.0,13,93.0,2,97.0,100.0,66.5,3.0,D,2026-06-23
104,1,421,72,28,140,80,Assignment,141,143,101,36,0,5.847222222222222,40.93055555555555,0.19002375296912113,0.332541567695962,15.0,91.53333333333333,100.0,75.0,72.0,15,94.0,0,96.0,86.0,93.0,-10.0,D,2026-06-23
105,1,211,40,22,90,30,Course Page,36,74,95,5,0,5.275,36.925,0.14218009478672985,0.4265402843601896,12.0,65.48333333333333,90.0,25.0,36.0,10,65.65,2,76.0,57.5,60.325,-18.5,N,2026-06-23
106,1,638,68,43,395,140,Course Page,75,188,345,7,0,9.382352941176471,65.6764705882353,0.219435736677116,0.6191222570532915,14.0,48.75714285714286,100.0,0.0,33.0,8,32.8,6,46.0,60.0,41.4,14.0,N,2026-06-23
107,1,678,69,46,174,108,Course Page,158,180,300,2,0,9.826086956521738,68.78260869565217,0.1592920353982301,0.25663716814159293,14.0,68.35714285714286,100.0,30.0,53.0,13,77.0,1,70.0,65.0,71.5,-5.0,P,2026-06-23
108,1,333,32,25,260,79,Course Page,105,66,151,9,0,10.40625,72.84375,0.23723723723723725,0.7807807807807807,14.0,58.464285714285715,85.0,0.0,57.0,12,76.0,2,70.0,38.75,65.75,-31.25,P,2026-06-23
109,1,205,30,19,103,6,Course Page,49,46,110,0,0,6.833333333333333,47.833333333333336,0.02926829268292683,0.5024390243902439,11.0,68.95454545454545,90.0,43.5,66.0,10,85.0,1,67.5,82.5,70.0,15.0,C,2026-06-23
110,1,251,30,30,194,56,Assignment,37,104,104,2,0,8.366666666666667,58.56666666666667,0.22310756972111553,0.7729083665338645,10.0,51.2,70.0,27.0,22.0,6,58.5,4,56.666666666666664,50.0,53.75,-6.666666666666664,N,2026-06-23
111,1,257,25,34,153,18,Assignment,17,147,92,1,0,10.28,71.96,0.07003891050583658,0.5953307392996109,13.0,81.69999999999999,100.0,63.3,45.0,13,63.3,0,99.0,76.66666666666667,66.15,-22.33333333333333,S,2026-06-23
