student_key,course_key,avg_score_so_far,max_score_so_far,min_score_so_far,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend,academic_period_key,snapshot_date,risk_label
20,1,53.875,100.0,20.0,4,65.0,4,100.0,20.0,47.25,-80.0,1,2026-07-01,1
21,1,67.8875,100.0,26.5,7,62.3,1,97.5,70.0,62.9,-27.5,1,2026-07-01,0
22,1,96.584,100.0,88.13,15,88.13,0,98.0,97.0,94.065,-1.0,1,2026-07-01,0
23,1,85.1,100.0,55.5,15,74.0,0,94.0,91.0,64.75,-3.0,1,2026-07-01,0
24,1,83.38888888888889,100.0,38.5,8,75.5,1,96.25,0.0,81.75,0.0,1,2026-07-01,1
25,1,77.36,100.0,46.2,13,46.2,2,81.0,83.0,64.6,2.0,1,2026-07-01,1
26,1,38.083333333333336,70.0,0.0,4,0.0,8,56.666666666666664,36.0,24.0,-20.666666666666664,1,2026-07-01,1
27,1,51.684615384615384,80.0,30.0,6,46.45,7,60.0,50.0,44.225,-10.0,1,2026-07-01,1
28,1,26.125,95.0,0.0,1,0.0,3,0.0,95.0,0.0,0.0,1,2026-07-01,1
29,1,75.61428571428571,100.0,56.05,14,56.05,0,83.0,85.0,57.025,2.0,1,2026-07-01,0
30,1,41.666666666666664,95.0,5.5,4,5.5,5,52.5,0.0,36.0,0.0,1,2026-07-01,1
31,1,90.15333333333334,100.0,65.8,15,65.8,0,97.4,90.0,80.4,-7.400000000000006,1,2026-07-01,0
32,1,84.09285714285714,100.0,59.0,14,59.4,0,91.25,98.0,59.2,6.75,1,2026-07-01,0
33,1,88.39666666666668,100.0,60.0,15,91.3,0,78.0,100.0,86.7375,22.0,1,2026-07-01,1
34,1,76.96153846153847,100.0,20.0,11,83.0,2,81.0,73.33333333333333,78.25,-7.666666666666671,1,2026-07-01,1
35,1,84.97333333333333,100.0,70.35,15,70.35,0,87.8,90.0,74.175,2.200000000000003,1,2026-07-01,1
36,1,67.6,90.0,35.0,13,64.5,2,67.0,63.0,74.75,-4.0,1,2026-07-01,0
37,1,77.27142857142857,95.0,55.0,14,81.4,0,79.0,73.75,80.7,-5.25,1,2026-07-01,0
38,1,67.25333333333333,92.0,35.0,12,79.65,3,62.0,59.0,85.825,-3.0,1,2026-07-01,1
39,1,81.94266666666667,100.0,61.57,15,61.57,0,94.0,82.0,65.285,-12.0,1,2026-07-01,0
40,1,62.392857142857146,100.0,19.0,12,19.0,2,75.0,72.5,35.5,-2.5,1,2026-07-01,1
41,1,38.9,60.0,0.0,5,46.0,5,40.0,55.0,30.666666666666668,15.0,1,2026-07-01,1
42,1,84.34615384615384,100.0,60.0,13,60.0,0,91.0,93.33333333333331,72.0,2.3333333333333286,1,2026-07-01,0
43,1,82.27857142857144,100.0,45.0,13,85.95,1,85.0,88.0,73.475,3.0,1,2026-07-01,1
44,1,83.9076923076923,100.0,67.9,13,67.9,0,93.0,88.33333333333333,71.95,-4.666666666666671,1,2026-07-01,0
45,1,89.08666666666666,100.0,65.0,15,79.15,0,88.0,92.0,86.575,4.0,1,2026-07-01,0
46,1,72.78666666666666,90.0,40.0,14,69.65,1,69.0,82.0,65.325,13.0,1,2026-07-01,1
47,1,83.44666666666667,100.0,60.0,15,75.85,0,81.0,87.0,81.925,6.0,1,2026-07-01,1
48,1,72.25733333333332,100.0,25.0,12,51.43,3,86.0,56.0,75.715,-30.0,1,2026-07-01,1
49,1,63.333333333333336,100.0,29.0,8,64.5,1,65.0,80.0,62.75,15.0,1,2026-07-01,1
50,1,46.2,84.0,20.0,6,51.3,7,40.0,33.333333333333336,67.65,-6.666666666666664,1,2026-07-01,0
51,1,87.73571428571428,100.0,50.0,14,97.9,0,89.0,82.5,93.95,-6.5,1,2026-07-01,0
52,1,71.03333333333333,100.0,50.0,15,68.0,0,82.0,67.0,61.5,-15.0,1,2026-07-01,0
53,1,57.03333333333333,100.0,19.7,7,19.7,5,72.0,50.0,44.6,-22.0,1,2026-07-01,1
54,1,74.99230769230769,100.0,30.0,10,76.45,3,67.5,97.5,62.225,30.0,1,2026-07-01,1
55,1,45.13636363636363,75.0,0.0,4,44.0,7,48.75,20.0,59.5,-28.75,1,2026-07-01,1
56,1,78.56666666666666,100.0,0.0,14,84.0,1,92.0,59.0,87.0,-33.0,1,2026-07-01,0
57,1,57.333333333333336,100.0,10.0,5,62.0,1,100.0,0.0,58.5,0.0,1,2026-07-01,1
58,1,26.375,55.0,0.0,4,53.75,8,17.5,6.666666666666667,54.375,-10.833333333333332,1,2026-07-01,1
59,1,55.67777777777778,85.0,29.0,6,36.05,3,78.33333333333333,55.0,45.525,-23.33333333333333,1,2026-07-01,1
60,1,90.91333333333334,100.0,80.0,15,84.15,0,91.8,91.0,89.575,-0.7999999999999972,1,2026-07-01,0
61,1,91.0,100.0,60.0,15,80.0,0,98.0,88.0,85.5,-10.0,1,2026-07-01,0
62,1,74.58,95.0,50.0,15,88.35,0,79.0,69.0,76.175,-10.0,1,2026-07-01,1
63,1,79.5,100.0,40.0,13,65.5,1,88.0,75.0,74.75,-13.0,1,2026-07-01,1
64,1,48.73,80.0,10.0,7,65.65,3,40.0,50.0,61.325,10.0,1,2026-07-01,1
65,1,83.24666666666667,95.0,58.0,15,88.4,0,83.8,90.0,73.2,6.200000000000003,1,2026-07-01,0
66,1,74.21333333333334,100.0,30.0,14,72.35,1,66.0,77.0,81.675,11.0,1,2026-07-01,1
67,1,87.22666666666667,100.0,67.7,15,67.7,0,96.0,86.0,76.85,-10.0,1,2026-07-01,0
68,1,75.48666666666666,100.0,30.0,12,41.65,3,72.0,90.0,60.325,18.0,1,2026-07-01,1
69,1,71.59466666666667,100.0,47.21,13,47.21,2,74.0,75.0,63.605,1.0,1,2026-07-01,0
70,1,95.83733333333332,100.0,88.28,15,88.28,0,98.0,96.0,92.64,-2.0,1,2026-07-01,0
71,1,54.642857142857146,80.0,0.0,10,66.0,4,55.0,42.0,73.0,-13.0,1,2026-07-01,1
72,1,75.97333333333333,100.0,40.0,14,96.3,1,80.0,62.0,89.65,-18.0,1,2026-07-01,0
73,1,53.4,100.0,0.0,5,0.0,5,80.0,75.0,9.333333333333334,-5.0,1,2026-07-01,1
74,1,76.5,95.0,30.0,14,50.0,1,76.0,81.0,71.0,5.0,1,2026-07-01,0
75,1,73.39285714285714,100.0,40.0,11,41.0,3,70.0,93.75,57.5,23.75,1,2026-07-01,0
76,1,64.23333333333333,100.0,20.0,11,45.0,4,76.0,61.0,52.5,-15.0,1,2026-07-01,0
77,1,70.47,100.0,38.0,9,89.35,1,70.0,100.0,71.675,30.0,1,2026-07-01,0
78,1,76.72142857142856,100.0,50.0,14,73.3,0,71.25,78.0,82.9,6.75,1,2026-07-01,1
79,1,70.85714285714286,100.0,40.0,13,63.0,1,86.0,65.0,58.25,-21.0,1,2026-07-01,0
80,1,81.77333333333333,100.0,65.0,15,79.3,0,86.0,78.0,81.15,-8.0,1,2026-07-01,0
81,1,35.906666666666666,75.0,10.0,4,48.8,11,15.0,55.0,38.4,40.0,1,2026-07-01,1
82,1,92.12666666666668,100.0,70.0,15,88.7,0,90.0,93.0,93.85,3.0,1,2026-07-01,0
83,1,68.04,100.0,40.0,12,45.3,3,69.0,79.0,51.65,10.0,1,2026-07-01,1
84,1,83.09333333333333,100.0,69.0,15,70.2,0,84.0,92.0,69.6,8.0,1,2026-07-01,0
85,1,69.76666666666667,100.0,0.0,10,0.0,5,79.0,100.0,15.5,21.0,1,2026-07-01,1
86,1,57.76666666666667,100.0,20.0,8,68.1,4,65.0,43.333333333333336,66.05,-21.666666666666664,1,2026-07-01,1
87,1,59.17857142857143,100.0,0.0,9,56.0,5,55.0,75.0,49.0,20.0,1,2026-07-01,1
88,1,74.33333333333333,100.0,0.0,7,86.5,2,75.0,0.0,84.75,0.0,1,2026-07-01,0
89,1,14.0,38.0,0.0,0,38.0,8,0.0,0.0,28.0,0.0,1,2026-07-01,1
90,1,87.90666666666667,100.0,79.0,15,82.55,0,92.0,89.0,80.775,-3.0,1,2026-07-01,0
91,1,84.86,100.0,50.0,15,84.95,0,74.0,92.0,89.975,18.0,1,2026-07-01,0
92,1,78.85,100.0,43.5,9,72.5,1,78.33333333333333,100.0,77.5,21.66666666666667,1,2026-07-01,1
93,1,32.19230769230769,60.0,0.0,3,23.0,10,41.0,26.666666666666668,26.25,-14.333333333333332,1,2026-07-01,1
94,1,53.785714285714285,90.0,17.0,8,17.0,6,75.0,56.25,23.25,-18.75,1,2026-07-01,0
96,1,68.36,100.0,1.2,11,1.2,4,82.0,88.0,22.6,6.0,1,2026-07-01,1
97,1,76.825,100.0,55.5,12,55.7,0,88.33333333333333,72.5,77.85,-15.833333333333329,1,2026-07-01,1
98,1,51.275,100.0,0.0,5,73.1,3,40.0,0.0,69.55,0.0,1,2026-07-01,1
99,1,74.25,100.0,0.0,13,79.0,1,90.0,53.75,77.0,-36.25,1,2026-07-01,0
100,1,41.15,75.0,0.0,5,0.0,5,61.25,50.0,21.75,-11.25,1,2026-07-01,1
101,1,71.86666666666666,90.0,43.0,13,67.0,2,74.0,82.0,55.0,8.0,1,2026-07-01,1
102,1,10.375,25.0,0.0,0,0.0,8,16.666666666666668,20.0,2.0,3.333333333333332,1,2026-07-01,1
103,1,89.96666666666667,100.0,40.0,13,93.0,2,97.0,100.0,66.5,3.0,1,2026-07-01,0
104,1,91.53333333333332,100.0,75.0,15,94.0,0,96.0,86.0,93.0,-10.0,1,2026-07-01,0
105,1,65.48333333333333,90.0,25.0,10,65.65,2,76.0,57.5,60.325,-18.5,1,2026-07-01,1
106,1,48.75714285714286,100.0,0.0,8,32.8,6,46.0,60.0,41.4,14.0,1,2026-07-01,1
107,1,68.35714285714286,100.0,30.0,13,77.0,1,70.0,65.0,71.5,-5.0,1,2026-07-01,0
108,1,58.464285714285715,85.0,0.0,12,76.0,2,70.0,38.75,65.75,-31.25,1,2026-07-01,0
109,1,68.95454545454545,90.0,43.5,10,85.0,1,67.5,82.5,70.0,15.0,1,2026-07-01,0
110,1,51.2,70.0,27.0,6,58.5,4,56.666666666666664,50.0,53.75,-6.666666666666664,1,2026-07-01,1
111,1,81.69999999999999,100.0,63.3,13,63.3,0,99.0,76.66666666666667,66.15,-22.33333333333333,1,2026-07-01,1
112,1,67.51428571428572,100.0,30.0,12,52.85,2,53.75,82.0,64.425,28.25,1,2026-07-01,0
113,1,31.466666666666665,75.0,0.0,5,62.0,10,17.0,19.0,68.5,2.0,1,2026-07-01,1
114,1,80.2,100.0,60.0,15,86.0,0,83.0,81.0,75.25,-2.0,1,2026-07-01,0
115,1,73.57142857142857,100.0,50.0,14,65.0,0,84.0,70.0,65.0,-14.0,1,2026-07-01,0
116,1,50.48333333333333,78.0,0.0,4,73.45,2,0.0,0.0,75.725,0.0,1,2026-07-01,1
117,1,92.2,100.0,50.0,15,91.5,0,100.0,100.0,70.75,0.0,1,2026-07-01,0
118,1,79.42,100.0,30.0,14,94.65,1,72.0,80.0,88.825,8.0,1,2026-07-01,0
119,1,69.7,100.0,10.0,11,77.5,4,80.0,67.0,59.25,-13.0,1,2026-07-01,0
120,1,88.57857142857142,100.0,64.0,14,83.05,0,100.0,92.0,73.525,-8.0,1,2026-07-01,0
121,1,48.625,80.0,18.5,5,31.75,3,65.0,55.0,46.375,-10.0,1,2026-07-01,1
122,1,92.64,100.0,78.73,14,78.73,0,100.0,96.25,80.86500000000001,-3.75,1,2026-07-01,0
123,1,34.05,63.0,0.0,4,63.0,6,36.25,25.0,42.0,-11.25,1,2026-07-01,1
124,1,80.41333333333334,95.0,69.0,15,72.1,0,83.0,85.0,70.55,2.0,1,2026-07-01,0
125,1,85.4,100.0,70.0,15,73.5,0,88.0,92.0,72.75,4.0,1,2026-07-01,0
126,1,65.63333333333334,100.0,0.0,12,54.0,3,72.0,55.0,71.5,-17.0,1,2026-07-01,0
127,1,38.95454545454545,85.0,0.0,6,0.0,5,42.0,85.0,26.0,43.0,1,2026-07-01,1
128,1,67.86666666666666,85.0,51.0,12,68.7,0,66.25,81.66666666666667,63.35,15.416666666666671,1,2026-07-01,1
129,1,55.0,100.0,20.0,8,30.0,4,58.0,55.0,55.0,-3.0,1,2026-07-01,1
130,1,64.725,100.0,23.0,6,57.4,2,76.66666666666667,0.0,66.2,0.0,1,2026-07-01,1
131,1,87.54666666666667,100.0,76.35,15,76.35,0,91.0,84.0,87.675,-7.0,1,2026-07-01,0
132,1,79.64999999999999,100.0,50.0,14,95.55,0,78.0,72.5,91.775,-5.5,1,2026-07-01,0
133,1,24.685714285714287,50.0,0.0,1,28.9,6,50.0,0.0,29.45,-50.0,1,2026-07-01,1
134,1,54.333333333333336,95.0,20.0,7,62.0,5,36.666666666666664,72.5,53.0,35.833333333333336,1,2026-07-01,1
135,1,78.47857142857143,100.0,37.0,12,50.35,2,96.0,90.0,43.675,-6.0,1,2026-07-01,1
136,1,73.15714285714286,83.85,65.0,14,83.85,0,75.0,71.0,75.925,-4.0,1,2026-07-01,0
137,1,78.88000000000001,100.0,50.35,15,50.35,0,89.0,88.0,52.425,-1.0,1,2026-07-01,1
138,1,74.6923076923077,100.0,30.0,11,88.5,2,71.25,78.75,77.75,7.5,1,2026-07-01,1
139,1,45.61538461538461,80.0,0.0,8,65.0,5,46.0,26.666666666666668,63.0,-19.333333333333332,1,2026-07-01,1
140,1,5.5,20.0,0.0,0,0.0,4,20.0,0.0,0.0,0.0,1,2026-07-01,1
141,1,55.29,100.0,30.0,8,43.78,6,61.0,40.0,65.64,-21.0,1,2026-07-01,1
142,1,89.41428571428571,100.0,75.0,14,95.9,0,92.5,90.0,87.45,-2.5,1,2026-07-01,0
143,1,45.142857142857146,90.0,0.0,3,0.0,4,55.0,30.0,54.0,-25.0,1,2026-07-01,1
144,1,62.5,95.0,0.0,7,87.0,3,60.0,72.5,58.0,12.5,1,2026-07-01,0
145,1,58.875,100.0,0.0,5,0.0,3,77.5,0.0,43.333333333333336,0.0,1,2026-07-01,1
146,1,60.07142857142857,75.0,14.5,6,55.5,1,72.5,0.0,65.25,0.0,1,2026-07-01,1
147,1,65.25,100.0,12.75,6,12.75,4,92.5,40.0,50.375,-52.5,1,2026-07-01,1
148,1,58.28888888888889,100.0,30.0,5,55.8,4,93.33333333333331,30.0,45.9,-63.33333333333333,1,2026-07-01,1
149,1,87.92857142857143,100.0,62.75,14,62.75,0,99.0,97.5,64.375,-1.5,1,2026-07-01,0
150,1,90.15,100.0,49.0,12,95.3,2,97.0,100.0,72.15,3.0,1,2026-07-01,0
151,1,53.9,100.0,0.0,6,0.0,4,45.0,80.0,0.0,35.0,1,2026-07-01,1
152,1,19.5,38.0,0.0,0,38.0,8,5.0,10.0,33.5,5.0,1,2026-07-01,1
153,1,52.29230769230769,65.0,10.0,10,60.4,3,51.0,45.0,62.7,-6.0,1,2026-07-01,1
154,1,11.4,50.0,0.0,1,0.0,4,0.0,50.0,0.6666666666666666,0.0,1,2026-07-01,1
155,1,0.0,0.0,0.0,0,0.0,6,0.0,0.0,0.0,0.0,1,2026-07-01,1
156,1,84.06,100.0,50.0,15,82.7,0,82.0,83.0,88.35,1.0,1,2026-07-01,1
157,1,19.15,80.0,0.0,2,0.0,8,29.0,0.0,10.666666666666666,-29.0,1,2026-07-01,1
158,1,8.25,33.0,0.0,0,0.0,8,0.0,0.0,22.0,0.0,1,2026-07-01,1
159,1,34.5,90.0,0.0,2,0.0,4,75.0,0.0,14.0,0.0,1,2026-07-01,1
160,1,12.5,50.0,0.0,2,0.0,6,0.0,0.0,25.0,0.0,1,2026-07-01,1
161,1,20.166666666666668,50.0,0.0,1,0.0,5,36.666666666666664,0.0,0.0,0.0,1,2026-07-01,1
162,1,29.791666666666668,80.0,0.0,5,0.0,7,49.0,40.0,0.0,-9.0,1,2026-07-01,1
163,1,67.22222222222223,100.0,0.0,7,0.0,2,90.0,100.0,0.0,10.0,1,2026-07-01,1
164,1,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,1,2026-07-01,1
165,1,33.0,80.0,0.0,2,0.0,3,75.0,0.0,0.0,0.0,1,2026-07-01,1
166,1,5.5,20.0,0.0,0,0.0,4,20.0,0.0,0.0,0.0,1,2026-07-01,1
167,1,0.0,0.0,0.0,0,0.0,5,0.0,0.0,0.0,0.0,1,2026-07-01,1
168,1,23.375,85.0,0.0,1,0.0,3,85.0,0.0,0.0,0.0,1,2026-07-01,1
169,1,0.0,0.0,0.0,0,0.0,6,0.0,0.0,0.0,0.0,1,2026-07-01,1
170,1,0.0,0.0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,1,2026-07-01,1
171,1,0.0,0.0,0.0,0,0.0,7,0.0,0.0,0.0,0.0,1,2026-07-01,1
2,1,70.53999999999999,100.0,0.0,20,44.8,10,95.0,72.0,34.9,-23.0,2,2026-07-05,1
4,1,83.28666666666666,100.0,60.0,30,61.9,0,79.0,98.0,68.95,19.0,2,2026-07-05,1
5,1,86.00666666666666,100.0,10.0,28,93.05,2,71.0,97.0,91.525,26.0,2,2026-07-05,0
7,1,53.53333333333333,80.0,31.0,18,68.0,12,51.0,59.0,49.5,8.0,2,2026-07-05,1
8,1,57.940000000000005,94.0,0.0,22,71.05,8,46.0,52.0,82.525,6.0,2,2026-07-05,1
9,1,67.83733333333333,100.0,0.0,24,52.28,6,94.0,40.0,70.14,-54.0,2,2026-07-05,0
10,1,60.08181818181818,95.0,10.0,12,84.7,10,56.25,70.0,64.85,13.75,2,2026-07-05,1
11,1,77.07142857142857,100.0,0.0,24,0.0,4,88.0,78.0,55.333333333333336,-10.0,2,2026-07-05,1
12,1,79.43333333333334,100.0,40.0,28,87.0,2,86.0,79.0,71.0,-7.0,2,2026-07-05,0
13,1,98.49333333333334,100.0,88.7,30,88.7,0,100.0,100.0,94.35,0.0,2,2026-07-05,0
14,1,82.82142857142857,100.0,0.0,26,0.0,2,90.0,91.0,54.666666666666664,1.0,2,2026-07-05,0
15,1,88.74666666666667,100.0,70.0,30,81.1,0,92.0,94.0,77.05,2.0,2,2026-07-05,0
16,1,68.83333333333333,100.0,0.0,24,20.25,6,86.0,66.0,49.125,-20.0,2,2026-07-05,0
17,1,35.857142857142854,100.0,0.0,6,0.0,8,73.33333333333333,0.0,3.0,0.0,2,2026-07-05,1
18,1,0.0,0.0,0.0,0,0.0,12,0.0,0.0,0.0,0.0,2,2026-07-05,1
19,1,93.65333333333334,100.0,70.0,30,93.15,0,90.0,97.0,94.075,7.0,2,2026-07-05,0
20,1,53.875,100.0,20.0,8,65.0,8,100.0,20.0,47.25,-80.0,2,2026-07-05,1
21,1,67.8875,100.0,26.5,14,62.3,2,97.5,70.0,62.9,-27.5,2,2026-07-05,0
22,1,96.584,100.0,88.13,30,88.13,0,98.0,97.0,94.065,-1.0,2,2026-07-05,0
23,1,85.1,100.0,55.5,30,74.0,0,94.0,91.0,64.75,-3.0,2,2026-07-05,0
24,1,83.38888888888889,100.0,38.5,16,75.5,2,96.25,0.0,81.75,0.0,2,2026-07-05,1
25,1,77.36,100.0,46.2,26,46.2,4,81.0,83.0,64.6,2.0,2,2026-07-05,1
26,1,38.083333333333336,70.0,0.0,8,0.0,16,56.666666666666664,36.0,24.0,-20.666666666666664,2,2026-07-05,1
27,1,51.684615384615384,80.0,30.0,12,46.45,14,60.0,50.0,44.225,-10.0,2,2026-07-05,1
28,1,26.125,95.0,0.0,2,0.0,6,0.0,95.0,0.0,0.0,2,2026-07-05,1
29,1,75.61428571428571,100.0,56.05,28,56.05,0,83.0,85.0,57.025,2.0,2,2026-07-05,0
30,1,41.666666666666664,95.0,5.5,8,5.5,10,52.5,0.0,36.0,0.0,2,2026-07-05,1
31,1,90.15333333333334,100.0,65.8,30,65.8,0,97.4,90.0,80.4,-7.400000000000006,2,2026-07-05,0
32,1,84.09285714285714,100.0,59.0,28,59.4,0,91.25,98.0,59.2,6.75,2,2026-07-05,0
33,1,88.39666666666668,100.0,60.0,30,91.3,0,78.0,100.0,86.7375,22.0,2,2026-07-05,1
34,1,76.96153846153847,100.0,20.0,22,83.0,4,81.0,73.33333333333333,78.25,-7.666666666666671,2,2026-07-05,1
35,1,84.97333333333333,100.0,70.35,30,70.35,0,87.8,90.0,74.175,2.200000000000003,2,2026-07-05,1
36,1,67.6,90.0,35.0,26,64.5,4,67.0,63.0,74.75,-4.0,2,2026-07-05,0
37,1,77.27142857142857,95.0,55.0,28,81.4,0,79.0,73.75,80.7,-5.25,2,2026-07-05,0
38,1,67.25333333333333,92.0,35.0,24,79.65,6,62.0,59.0,85.825,-3.0,2,2026-07-05,1
39,1,81.94266666666667,100.0,61.57,30,61.57,0,94.0,82.0,65.285,-12.0,2,2026-07-05,0
40,1,62.392857142857146,100.0,19.0,24,19.0,4,75.0,72.5,35.5,-2.5,2,2026-07-05,1
41,1,38.9,60.0,0.0,10,46.0,10,40.0,55.0,30.666666666666668,15.0,2,2026-07-05,1
42,1,84.34615384615384,100.0,60.0,26,60.0,0,91.0,93.33333333333331,72.0,2.3333333333333286,2,2026-07-05,0
43,1,82.27857142857144,100.0,45.0,26,85.95,2,85.0,88.0,73.475,3.0,2,2026-07-05,1
44,1,83.9076923076923,100.0,67.9,26,67.9,0,93.0,88.33333333333333,71.95,-4.666666666666671,2,2026-07-05,0
45,1,89.08666666666666,100.0,65.0,30,79.15,0,88.0,92.0,86.575,4.0,2,2026-07-05,0
46,1,72.78666666666666,90.0,40.0,28,69.65,2,69.0,82.0,65.325,13.0,2,2026-07-05,1
47,1,83.44666666666667,100.0,60.0,30,75.85,0,81.0,87.0,81.925,6.0,2,2026-07-05,1
48,1,72.25733333333332,100.0,25.0,24,51.43,6,86.0,56.0,75.715,-30.0,2,2026-07-05,1
49,1,63.333333333333336,100.0,29.0,16,64.5,2,65.0,80.0,62.75,15.0,2,2026-07-05,1
50,1,46.2,84.0,20.0,12,51.3,14,40.0,33.333333333333336,67.65,-6.666666666666664,2,2026-07-05,0
51,1,87.73571428571428,100.0,50.0,28,97.9,0,89.0,82.5,93.95,-6.5,2,2026-07-05,0
52,1,71.03333333333333,100.0,50.0,30,68.0,0,82.0,67.0,61.5,-15.0,2,2026-07-05,0
53,1,57.03333333333333,100.0,19.7,14,19.7,10,72.0,50.0,44.6,-22.0,2,2026-07-05,1
54,1,74.99230769230769,100.0,30.0,20,76.45,6,67.5,97.5,62.225,30.0,2,2026-07-05,1
55,1,45.13636363636363,75.0,0.0,8,44.0,14,48.75,20.0,59.5,-28.75,2,2026-07-05,1
56,1,78.56666666666666,100.0,0.0,28,84.0,2,92.0,59.0,87.0,-33.0,2,2026-07-05,0
57,1,57.333333333333336,100.0,10.0,10,62.0,2,100.0,0.0,58.5,0.0,2,2026-07-05,1
58,1,26.375,55.0,0.0,8,53.75,16,17.5,6.666666666666667,54.375,-10.833333333333332,2,2026-07-05,1
59,1,55.67777777777778,85.0,29.0,12,36.05,6,78.33333333333333,55.0,45.525,-23.33333333333333,2,2026-07-05,1
60,1,90.91333333333334,100.0,80.0,30,84.15,0,91.8,91.0,89.575,-0.7999999999999972,2,2026-07-05,0
61,1,91.0,100.0,60.0,30,80.0,0,98.0,88.0,85.5,-10.0,2,2026-07-05,0
62,1,74.58,95.0,50.0,30,88.35,0,79.0,69.0,76.175,-10.0,2,2026-07-05,1
63,1,79.5,100.0,40.0,26,65.5,2,88.0,75.0,74.75,-13.0,2,2026-07-05,1
64,1,48.73,80.0,10.0,14,65.65,6,40.0,50.0,61.325,10.0,2,2026-07-05,1
65,1,83.24666666666667,95.0,58.0,30,88.4,0,83.8,90.0,73.2,6.200000000000003,2,2026-07-05,0
66,1,74.21333333333334,100.0,30.0,28,72.35,2,66.0,77.0,81.675,11.0,2,2026-07-05,1
67,1,87.22666666666667,100.0,67.7,30,67.7,0,96.0,86.0,76.85,-10.0,2,2026-07-05,0
68,1,75.48666666666666,100.0,30.0,24,41.65,6,72.0,90.0,60.325,18.0,2,2026-07-05,1
69,1,71.59466666666667,100.0,47.21,26,47.21,4,74.0,75.0,63.605,1.0,2,2026-07-05,0
70,1,95.83733333333332,100.0,88.28,30,88.28,0,98.0,96.0,92.64,-2.0,2,2026-07-05,0
71,1,54.642857142857146,80.0,0.0,20,66.0,8,55.0,42.0,73.0,-13.0,2,2026-07-05,1
72,1,75.97333333333333,100.0,40.0,28,96.3,2,80.0,62.0,89.65,-18.0,2,2026-07-05,0
73,1,53.4,100.0,0.0,10,0.0,10,80.0,75.0,9.333333333333334,-5.0,2,2026-07-05,1
74,1,76.5,95.0,30.0,28,50.0,2,76.0,81.0,71.0,5.0,2,2026-07-05,0
75,1,73.39285714285714,100.0,40.0,22,41.0,6,70.0,93.75,57.5,23.75,2,2026-07-05,0
76,1,64.23333333333333,100.0,20.0,22,45.0,8,76.0,61.0,52.5,-15.0,2,2026-07-05,0
77,1,70.47,100.0,38.0,18,89.35,2,70.0,100.0,71.675,30.0,2,2026-07-05,0
78,1,76.72142857142856,100.0,50.0,28,73.3,0,71.25,78.0,82.9,6.75,2,2026-07-05,1
79,1,70.85714285714286,100.0,40.0,26,63.0,2,86.0,65.0,58.25,-21.0,2,2026-07-05,0
80,1,81.77333333333333,100.0,65.0,30,79.3,0,86.0,78.0,81.15,-8.0,2,2026-07-05,0
81,1,35.906666666666666,75.0,10.0,8,48.8,22,15.0,55.0,38.4,40.0,2,2026-07-05,1
82,1,92.12666666666668,100.0,70.0,30,88.7,0,90.0,93.0,93.85,3.0,2,2026-07-05,0
83,1,68.04,100.0,40.0,24,45.3,6,69.0,79.0,51.65,10.0,2,2026-07-05,1
84,1,83.09333333333333,100.0,69.0,30,70.2,0,84.0,92.0,69.6,8.0,2,2026-07-05,0
