student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
38,1,2026-07-07,2,846,84,38,256,166,10.071428571428571,70.5,0.19621749408983452,0.30260047281323876,146,242,403,20,0,Course Page,0,1
39,1,2026-07-07,2,211,50,37,41,40,4.22,29.54,0.1895734597156398,0.1943127962085308,70,58,59,6,0,Lecture Material,0,0
40,1,2026-07-07,2,321,40,22,154,30,8.025,56.175,0.09345794392523364,0.4797507788161994,31,178,111,1,0,Assignment,0,1
41,1,2026-07-07,2,409,43,26,225,101,9.511627906976743,66.5813953488372,0.2469437652811736,0.5501222493887531,79,122,196,10,0,Course Page,0,1
42,1,2026-07-07,2,266,42,19,128,22,6.333333333333333,44.333333333333336,0.08270676691729323,0.48120300751879697,29,130,101,1,0,Assignment,0,0
43,1,2026-07-07,2,611,63,35,334,99,9.698412698412698,67.88888888888889,0.16202945990180032,0.546644844517185,109,77,402,1,0,Course Page,0,1
44,1,2026-07-07,2,367,38,25,107,75,9.657894736842104,67.60526315789474,0.20435967302452315,0.29155313351498635,86,96,174,7,0,Course Page,0,0
45,1,2026-07-07,2,478,62,55,257,73,7.709677419354839,53.967741935483865,0.15271966527196654,0.5376569037656904,67,193,193,8,0,Assignment,0,0
46,1,2026-07-07,2,265,40,21,79,64,6.625,46.375,0.24150943396226415,0.2981132075471698,66,59,118,13,0,Course Page,0,1
47,1,2026-07-07,2,330,53,25,156,115,6.226415094339623,43.58490566037736,0.3484848484848485,0.4727272727272727,19,138,163,6,0,Course Page,0,1
48,1,2026-07-07,2,384,48,32,109,98,8.0,56.0,0.2552083333333333,0.2838541666666667,121,96,160,1,0,Course Page,0,1
49,1,2026-07-07,2,439,34,29,366,158,12.911764705882353,90.38235294117648,0.35990888382687924,0.8337129840546698,143,56,192,32,0,Course Page,0,1
50,1,2026-07-07,2,254,35,40,64,8,7.257142857142857,50.8,0.031496062992125984,0.25196850393700787,83,37,75,36,0,Lecture Material,0,0
51,1,2026-07-07,2,270,57,26,125,41,4.7368421052631575,33.15789473684211,0.15185185185185185,0.46296296296296297,48,94,106,12,0,Course Page,0,0
52,1,2026-07-07,2,244,32,22,120,39,7.625,53.375,0.1598360655737705,0.4918032786885246,82,36,94,10,0,Course Page,0,0
53,1,2026-07-07,2,267,42,21,60,79,6.357142857142857,44.5,0.2958801498127341,0.2247191011235955,76,66,121,4,0,Course Page,0,1
54,1,2026-07-07,2,748,69,40,322,144,10.840579710144928,75.88405797101449,0.1925133689839572,0.4304812834224599,90,227,378,1,0,Course Page,0,1
55,1,2026-07-07,2,711,68,24,147,179,10.455882352941176,73.19117647058825,0.2517580872011252,0.20675105485232068,49,94,552,6,0,Course Page,0,1
56,1,2026-07-07,2,261,40,24,71,64,6.525,45.675,0.24521072796934865,0.2720306513409962,37,99,113,8,0,Course Page,0,0
57,1,2026-07-07,2,176,38,15,78,22,4.631578947368421,32.421052631578945,0.125,0.4431818181818182,11,45,119,0,0,Course Page,0,1
58,1,2026-07-07,2,387,46,27,135,68,8.41304347826087,58.891304347826086,0.17571059431524547,0.3488372093023256,98,46,223,11,0,Course Page,0,1
59,1,2026-07-07,2,221,28,16,77,28,7.892857142857143,55.25,0.12669683257918551,0.34841628959276016,50,48,123,0,0,Course Page,0,1
60,1,2026-07-07,2,455,69,26,180,125,6.594202898550725,46.15942028985507,0.27472527472527475,0.3956043956043956,41,177,214,15,0,Course Page,0,0
61,1,2026-07-07,2,280,49,33,118,59,5.714285714285714,40.0,0.21071428571428572,0.42142857142857143,92,64,88,14,0,Lecture Material,0,0
62,1,2026-07-07,2,220,37,27,98,71,5.945945945945946,41.62162162162162,0.32272727272727275,0.44545454545454544,43,58,105,4,0,Course Page,0,1
63,1,2026-07-07,2,347,53,30,118,41,6.547169811320755,45.83018867924528,0.11815561959654179,0.3400576368876081,45,77,204,5,0,Course Page,0,1
64,1,2026-07-07,2,551,30,27,345,60,18.366666666666667,128.56666666666666,0.1088929219600726,0.6261343012704175,72,49,410,9,0,Course Page,0,1
65,1,2026-07-07,2,408,50,33,165,38,8.16,57.12,0.09313725490196079,0.40441176470588236,54,137,180,15,0,Course Page,0,0
