student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
134,1,2026-07-07,2,418,37,30,214,88,11.297297297297296,79.08108108108108,0.21052631578947367,0.5119617224880383,116,75,201,15,0,Course Page,0,1
135,1,2026-07-07,2,237,30,36,175,32,7.9,55.300000000000004,0.1350210970464135,0.7383966244725738,23,140,70,1,0,Assignment,0,1
136,1,2026-07-07,2,359,51,22,145,87,7.03921568627451,49.27450980392157,0.24233983286908078,0.403899721448468,35,159,161,2,0,Course Page,0,0
137,1,2026-07-07,2,307,28,42,114,29,10.964285714285714,76.75,0.09446254071661238,0.3713355048859935,29,188,90,0,0,Assignment,0,1
138,1,2026-07-07,2,214,24,20,92,61,8.916666666666666,62.41666666666667,0.2850467289719626,0.42990654205607476,17,99,93,1,0,Assignment,0,1
139,1,2026-07-07,2,135,22,14,72,40,6.136363636363637,42.95454545454545,0.2962962962962963,0.5333333333333333,14,54,64,0,0,Course Page,0,1
140,1,2026-07-07,2,7,5,3,1,2,1.4,9.799999999999999,0.2857142857142857,0.14285714285714285,0,2,4,1,0,Course Page,0,1
141,1,2026-07-07,2,374,51,27,119,53,7.333333333333333,51.333333333333336,0.14171122994652408,0.3181818181818182,58,100,201,9,0,Course Page,0,1
142,1,2026-07-07,2,277,47,23,39,44,5.8936170212765955,41.25531914893617,0.1588447653429603,0.1407942238267148,82,57,125,6,0,Course Page,0,0
143,1,2026-07-07,2,501,38,25,232,64,13.18421052631579,92.28947368421052,0.1277445109780439,0.4630738522954092,182,65,235,9,0,Course Page,0,1
144,1,2026-07-07,2,105,12,16,90,27,8.75,61.25,0.2571428571428571,0.8571428571428571,2,33,66,0,0,Course Page,0,0
145,1,2026-07-07,2,112,10,16,82,2,11.2,78.39999999999999,0.017857142857142856,0.7321428571428571,48,26,35,3,0,Lecture Material,0,1
146,1,2026-07-07,2,176,34,17,87,41,5.176470588235294,36.235294117647065,0.23295454545454544,0.4943181818181818,67,39,63,2,0,Lecture Material,0,1
147,1,2026-07-07,2,265,37,26,83,78,7.162162162162162,50.13513513513514,0.2943396226415094,0.3132075471698113,60,81,115,8,0,Course Page,0,1
