student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,snapshot_date,risk_label,ass_1_with_penalty_100,ass_2_100,ass_2_with_penalty_100,ass_ex_1,ass_ex_10,ass_ex_2,ass_ex_3,ass_ex_4,ass_ex_5,ass_ex_6,ass_ex_7,ass_ex_8,ass_ex_9,assignment_1_100,exam_100,rounded_total_100,total_100,weekly_lab_quizzes_100
44,1,367,38,26,107,75,Course Page,90,96,174,7,0,9.657894736842104,67.60526315789474,0.20435967302452315,0.29155313351498635,2026-06-23,0,76.0,67.9,67.9,90.0,0.0,100.0,90.0,90.0,95.0,95.0,0.0,80.0,90.0,76.0,48.5,60.0,60.03,73.0
45,1,478,62,56,257,73,Assignment,68,193,193,8,0,7.709677419354839,53.967741935483865,0.15271966527196654,0.5376569037656904,2026-06-23,0,94.0,79.15,79.15,85.0,90.0,100.0,90.0,65.0,100.0,100.0,100.0,70.0,100.0,94.0,56.5,71.0,71.48,90.0
46,1,265,40,22,79,64,Course Page,74,59,118,13,0,6.625,46.375,0.24150943396226415,0.2981132075471698,2026-06-23,1,61.0,69.65,69.65,80.0,85.0,40.0,60.0,85.0,80.0,90.0,70.0,80.0,85.0,61.0,22.0,46.0,46.13,75.5
47,1,330,53,26,156,115,Course Page,20,138,163,6,0,6.226415094339623,43.58490566037736,0.3484848484848485,0.4727272727272727,2026-06-23,1,88.0,75.85,75.85,85.0,90.0,60.0,80.0,90.0,90.0,100.0,80.0,70.0,95.0,88.0,4.75,43.0,43.145,84.0
48,1,384,48,32,109,98,Course Page,121,96,160,1,0,8.0,56.0,0.2552083333333333,0.2838541666666667,2026-06-23,1,100.0,51.43,51.43,100.0,40.0,50.0,100.0,100.0,80.0,90.0,95.0,30.0,25.0,100.0,26.5,48.0,47.736,71.0
49,1,439,34,30,366,158,Course Page,151,56,192,32,0,12.911764705882353,90.38235294117648,0.35990888382687924,0.8337129840546698,2026-06-23,1,61.0,64.5,64.5,70.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0,61.0,2.0,26.0,25.8,29.0
50,1,254,35,41,64,8,Lecture Material,84,37,75,36,0,7.257142857142857,50.8,0.031496062992125984,0.25196850393700787,2026-06-23,0,84.0,51.3,51.3,50.0,20.0,40.0,40.0,30.0,40.0,50.0,0.0,0.0,30.0,84.0,70.0,60.0,59.66,30.0
51,1,270,57,27,125,41,Course Page,52,94,106,12,0,4.7368421052631575,33.15789473684211,0.15185185185185185,0.46296296296296297,2026-06-23,0,90.0,97.9,97.9,95.0,100.0,100.0,100.0,80.0,70.0,0.0,50.0,100.0,80.0,90.0,76.25,82.0,82.205,77.5
52,1,244,32,23,120,39,Lecture Material,95,36,94,10,0,7.625,53.375,0.1598360655737705,0.4918032786885246,2026-06-23,0,55.0,68.0,68.0,80.0,50.0,80.0,100.0,70.0,80.0,70.0,65.0,60.0,90.0,55.0,56.0,62.0,62.0,74.5
53,1,267,42,21,60,79,Course Page,76,66,121,4,0,6.357142857142857,44.5,0.2958801498127341,0.2247191011235955,2026-06-23,1,69.5,19.7,19.7,100.0,0.0,50.0,90.0,40.0,80.0,40.0,0.0,60.0,0.0,69.5,34.0,37.0,37.09,46.0
54,1,748,69,41,322,144,Course Page,91,227,378,1,0,10.840579710144928,75.88405797101449,0.1925133689839572,0.4304812834224599,2026-06-23,1,48.0,76.45,76.45,30.0,0.0,80.0,0.0,80.0,80.0,90.0,100.0,100.0,100.0,48.0,14.5,41.0,40.54,66.0
55,1,711,68,25,147,179,Course Page,50,94,552,6,0,10.455882352941176,73.19117647058825,0.2517580872011252,0.20675105485232068,2026-06-23,1,75.0,44.0,44.0,75.0,0.0,40.0,30.0,50.0,0.0,40.0,0.0,0.0,0.0,75.0,1.0,22.0,21.5,23.5
56,1,261,40,25,71,64,Course Page,39,99,113,8,0,6.525,45.675,0.24521072796934865,0.2720306513409962,2026-06-23,0,90.0,84.0,84.0,80.0,0.0,100.0,100.0,90.0,90.0,80.0,70.0,75.0,70.0,90.0,39.0,60.0,60.4,75.5
57,1,176,38,16,78,22,Course Page,12,45,119,0,0,4.631578947368421,32.421052631578945,0.125,0.4431818181818182,2026-06-23,1,55.0,62.0,62.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.5,47.0,47.15,10.0
58,1,387,46,28,135,68,Course Page,106,46,223,11,0,8.41304347826087,58.891304347826086,0.17571059431524547,0.3488372093023256,2026-06-23,1,55.0,53.75,53.75,30.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,55.0,3.0,20.0,19.55,9.0
59,1,221,28,16,77,28,Course Page,50,48,123,0,0,7.892857142857143,55.25,0.12669683257918551,0.34841628959276016,2026-06-23,1,55.0,36.05,36.05,0.0,0.0,75.0,85.0,0.0,75.0,55.0,0.0,0.0,0.0,55.0,0.0,19.0,18.51,29.0
60,1,455,69,27,180,125,Course Page,46,177,214,15,0,6.594202898550725,46.15942028985507,0.27472527472527475,0.3956043956043956,2026-06-23,0,95.0,84.15,84.15,80.0,95.0,95.0,95.0,90.0,99.0,100.0,100.0,80.0,80.0,95.0,40.0,65.0,64.61,91.4
